,sentence_id,token_id,class,before,after
162,14,5,VERBATIM,-,-
279,24,3,VERBATIM,#,number
724,54,11,VERBATIM,&,and
980,75,2,VERBATIM,サ,サ
981,75,3,VERBATIM,イ,イ
982,75,4,VERBATIM,バ,バ
983,75,5,VERBATIM,ー,ー
984,75,6,VERBATIM,ス,ス
985,75,7,VERBATIM,レ,レ
986,75,8,VERBATIM,ッ,ッ
987,75,9,VERBATIM,ド,ド
1839,141,12,VERBATIM,pp,p p
2060,160,6,VERBATIM,-,-
2959,239,7,VERBATIM,-,-
3463,279,3,VERBATIM,&,and
4095,337,3,VERBATIM,&,and
4248,348,6,VERBATIM,pp,p p
4461,365,2,VERBATIM,&,and
4963,402,8,VERBATIM,-,-
4965,402,10,VERBATIM,-,-
5414,439,5,VERBATIM,-,-
6020,487,1,VERBATIM,Σ,sigma
6021,487,2,VERBATIM,η,eta
6022,487,3,VERBATIM,κ,kappa
6023,487,4,VERBATIM,ω,omega
6024,487,5,VERBATIM,σ,sigma
6025,487,6,VERBATIM,α,alpha
6026,487,7,VERBATIM,ν,nu
6030,487,11,VERBATIM,δ,delta
6031,487,12,VERBATIM,ι,iota
6032,487,13,VERBATIM,σ,sigma
6321,512,12,VERBATIM,-,-
6427,522,5,VERBATIM,&,and
6942,564,7,VERBATIM,&,and
7172,579,19,VERBATIM,Md,m d
8205,672,1,VERBATIM,&,and
8675,705,10,VERBATIM,$,dollar
9293,752,7,VERBATIM,ầ,ầ
9295,752,9,VERBATIM,th,t h
9296,752,10,VERBATIM,ứ,ứ
9976,817,1,VERBATIM,&,and
10882,888,4,VERBATIM,Ḳ,Ḳ
10892,888,14,VERBATIM,xx,x x
11222,917,7,VERBATIM,-,-
12029,985,3,VERBATIM,pp,p p
12047,986,16,VERBATIM,-,-
12286,1005,2,VERBATIM,#,number
12846,1055,14,VERBATIM,-,-
13072,1074,18,VERBATIM,pp,p p
13187,1085,3,VERBATIM,ま,ま
13188,1085,4,VERBATIM,ぼ,ぼ
13189,1085,5,VERBATIM,ろ,ろ
13190,1085,6,VERBATIM,し,し
13191,1085,7,VERBATIM,パ,パ
13192,1085,8,VERBATIM,ン,ン
13193,1085,9,VERBATIM,テ,テ
13194,1085,10,VERBATIM,ィ,ィ
13513,1112,7,VERBATIM,ʻ,ʻ
13847,1144,2,VERBATIM,&,and
14690,1208,3,VERBATIM,&,and
14795,1216,3,VERBATIM,&,and
14824,1218,5,VERBATIM,~,tilde
15399,1257,1,VERBATIM,ك,ك
15400,1257,2,VERBATIM,و,و
15401,1257,3,VERBATIM,ن,ن
15402,1257,4,VERBATIM,ا,ا
15404,1257,6,VERBATIM,ا,ا
15405,1257,7,VERBATIM,ل,ل
15406,1257,8,VERBATIM,م,م
15407,1257,9,VERBATIM,ط,ط
15408,1257,10,VERBATIM,ب,ب
15409,1257,11,VERBATIM,خ,خ
15410,1257,12,VERBATIM,ا,ا
15411,1257,13,VERBATIM,ل,ل
15412,1257,14,VERBATIM,ح,ح
15413,1257,15,VERBATIM,ل,ل
15414,1257,16,VERBATIM,ب,ب
15415,1257,17,VERBATIM,ي,ي
15416,1257,18,VERBATIM,ي,ي
15417,1257,19,VERBATIM,ن,ن
15418,1257,20,VERBATIM,ف,ف
15419,1257,21,VERBATIM,ر,ر
15420,1257,22,VERBATIM,د,د
15421,1257,23,VERBATIM,ب,ب
15422,1257,24,VERBATIM,ت,ت
15423,1257,25,VERBATIM,ن,ن
15424,1257,26,VERBATIM,و,و
15425,1257,27,VERBATIM,ع,ع
15426,1257,28,VERBATIM,ا,ا
15427,1257,29,VERBATIM,ط,ط
15428,1257,30,VERBATIM,ع,ع
15429,1257,31,VERBATIM,م,م
15430,1257,32,VERBATIM,ت,ت
15431,1257,33,VERBATIM,ه,ه
15432,1257,34,VERBATIM,و,و
15433,1257,35,VERBATIM,ط,ط
15434,1257,36,VERBATIM,ي,ي
15435,1257,37,VERBATIM,ب,ب
15436,1257,38,VERBATIM,ن,ن
15437,1257,39,VERBATIM,ك,ك
15438,1257,40,VERBATIM,ت,ت
15439,1257,41,VERBATIM,ه,ه
15575,1265,13,VERBATIM,²,squared
15815,1284,3,VERBATIM,&,and
16091,1303,3,VERBATIM,&,and
16247,1317,2,VERBATIM,-,-
16284,1320,2,VERBATIM,-,-
17128,1396,4,VERBATIM,pp,p p
17279,1408,2,VERBATIM,&,and
17302,1410,2,VERBATIM,&,and
17609,1432,2,VERBATIM,八,八
17610,1432,3,VERBATIM,重,重
17611,1432,4,VERBATIM,山,山
17612,1432,5,VERBATIM,郡,郡
18427,1494,5,VERBATIM,&,and
18695,1511,18,VERBATIM,_,underscore
19079,1539,9,VERBATIM,-,-
20187,1620,4,VERBATIM,Α,alpha
20188,1620,5,VERBATIM,θ,theta
20189,1620,6,VERBATIM,λ,lambda
20190,1620,7,VERBATIM,η,eta
20191,1620,8,VERBATIM,τ,tau
20192,1620,9,VERBATIM,ι,iota
20193,1620,10,VERBATIM,κ,kappa
20194,1620,11,VERBATIM,ο,omicron
20195,1620,12,VERBATIM,ι,iota
20196,1620,13,VERBATIM,Σ,sigma
20197,1620,14,VERBATIM,υ,upsilon
20198,1620,15,VERBATIM,λ,lambda
20199,1620,16,VERBATIM,λ,lambda
20200,1620,17,VERBATIM,ο,omicron
20201,1620,18,VERBATIM,γ,gamma
20202,1620,19,VERBATIM,ο,omicron
20203,1620,20,VERBATIM,ι,iota
20356,1631,1,VERBATIM,-,-
20420,1637,7,VERBATIM,С,С
20421,1637,8,VERBATIM,о,о
20422,1637,9,VERBATIM,л,л
20423,1637,10,VERBATIM,х,х
20424,1637,11,VERBATIM,о,о
20425,1637,12,VERBATIM,в,в
20426,1637,13,VERBATIM,а,а
20427,1637,14,VERBATIM,к,к
20428,1637,15,VERBATIM,и,и
20429,1637,16,VERBATIM,с,с
20430,1637,17,VERBATIM,м,м
20431,1637,18,VERBATIM,а,а
20432,1637,19,VERBATIM,т,т
20433,1637,20,VERBATIM,х,х
20434,1637,21,VERBATIM,о,о
20709,1657,1,VERBATIM,&,and
20950,1675,6,VERBATIM,-,-
21110,1691,15,VERBATIM,-,-
21239,1700,5,VERBATIM,PhD,p h d
21284,1704,7,VERBATIM,-,-
21596,1727,15,VERBATIM,-,-
21891,1748,8,VERBATIM,-,-
21959,1755,2,VERBATIM,-,-
22802,1822,17,VERBATIM,&,and
23138,1852,28,VERBATIM,&,and
23141,1852,31,VERBATIM,&,and
23650,1892,9,VERBATIM,&,and
23821,1909,4,VERBATIM,-,-
23825,1909,8,VERBATIM,-,-
23859,1912,2,VERBATIM,-,-
24409,1952,1,VERBATIM,&,and
24419,1952,11,VERBATIM,cf,c f
24581,1964,2,VERBATIM,#,number
24606,1965,13,VERBATIM,Lt,l t
24748,1975,5,VERBATIM,&,and
24761,1976,10,VERBATIM,&,and
25314,2018,3,VERBATIM,&,and
25719,2050,19,VERBATIM,#,number
26508,2109,10,VERBATIM,&,and
26565,2114,0,VERBATIM,Thng,t h n g
26635,2118,11,VERBATIM,-,-
27078,2151,0,VERBATIM,-,-
27214,2160,12,VERBATIM,#,number
27414,2175,6,VERBATIM,&,and
27702,2201,3,VERBATIM,pp,p p
28178,2242,2,VERBATIM,-,-
28597,2277,3,VERBATIM,&,and
29062,2319,7,VERBATIM,-,-
29598,2361,4,VERBATIM,-,-
29699,2366,5,VERBATIM,-,-
29734,2369,9,VERBATIM,pp,p p
29789,2376,5,VERBATIM,xls,x l s
29907,2384,4,VERBATIM,.1.8,dot o n e dot e i g h t
29930,2385,14,VERBATIM,-,-
30455,2428,13,VERBATIM,-,-
30536,2433,7,VERBATIM,О,О
30537,2433,8,VERBATIM,д,д
30538,2433,9,VERBATIM,н,н
30539,2433,10,VERBATIM,и,и
30643,2440,21,VERBATIM,pg,p g
30673,2442,15,VERBATIM,-,-
30957,2465,4,VERBATIM,-,-
31311,2488,9,VERBATIM,&,and
32137,2560,1,VERBATIM,О,О
32138,2560,2,VERBATIM,т,т
32139,2560,3,VERBATIM,е,е
32140,2560,4,VERBATIM,р,р
32141,2560,5,VERBATIM,р,р
32142,2560,6,VERBATIM,и,и
32143,2560,7,VERBATIM,т,т
